菜名,工艺,口味,时间,难度,主料,辅料
蒜蓉拌苋菜,拌,咸鲜味,10分钟,新手尝试,['苋菜 500克'],"['米醋 2勺', '白糖 1勺', '盐 1小勺']"
白肉凉面,拌,家常味,5分钟,新手尝试,['面条 100克'],"['大蒜 3瓣', '生姜 10克', '白糖 3克', '酱油 15克', '醋 6克', '大葱 3根', '料酒 10克', '盐 适量']"
土豆炖牛肉,炖,家常味,2小时,新手尝试,"['土豆 500克', '牛肉 300克']","['八角 1个', '桂皮 2克', '酱油 1汤匙', '干辣椒 2根', '大葱 5克', '生姜 5克', '料酒 2汤匙', '花生油 2汤匙']"
骨头汤,煲,家常味,90分钟,未知,[],"['玉米 1条', '胡萝卜 1条', '香菇 3个', '红枣 6个', '生姜 3块', '盐 适量']"
西湖牛肉羹,煮,咸鲜味,30分钟,初级入门,"['牛肉 100克', '平菇 50克', '香菜 2根', '豆腐 50克']","['盐 1/2小匙', '胡椒粉 1/4小匙', '鸡精 1/4小匙', '淀粉 1大匙', '水 2大匙', '大葱 1根', '生姜 2片']"
糖醋排骨,炒,酸甜味,90分钟,初中水平,['猪肉 1斤'],"['白糖 8克', '盐 3克', '醋 1大勺', '酱油 1小勺', '料酒 1小勺', '鸡精 少许']"
酱牛肉,煮,咸鲜味,60分钟,新手尝试,[],"['豆瓣酱 60克', '白糖 3克', '丁香 8粒', '生姜 1块', '花椒 40颗', '桂皮 1块', '香叶 2片', '干辣椒 6个', '草果 1颗', '大葱 1根']"
春色--马蹄莲馄饨,煮,咸鲜味,10分钟,初中水平,"['猪肉 200克', '胡萝卜 1根', '青椒 1个', '大葱 1根', '生姜 5片', '五香粉 6克', '胡椒粉 3克', '芦笋 10根']","['盐 适量', '花生油 适量', '水 70毫升']"
上海本帮菜——酱鸭腿,焖,酱香味,90分钟,未知,['鸭腿 一个'],"['大葱 适量', '盐 适量', '水 适量', '生姜 适量', '大蒜 适量', '料酒 适量', '八角 适量', '香叶 适量', '桂皮 适量', '辣椒 适量', '冰糖 适量']"
芝麻酱烤馍片,烤,家常味,5分钟,新手尝试,['芝麻酱 2勺'],"['盐 适量', '孜然 适量']"
芙蓉虾蟹丁,炒,家常味,15分钟,新手尝试,"['虾 4只', '豌豆 80克']","['牛奶 100克', '淀粉 5克', '料酒 1勺', '盐 少许', '胡椒粉 少许']"
小菇炒鸡蛋,炒,家常味,15分钟,未知,['鸡蛋 2个'],"['大葱 适量', '盐 适量']"
豇豆肉末盖浇饭,蒸,家常味,60分钟,初中水平,"['豇豆 200克', '猪肉 100克', '大米 500克', '辣椒 1个']","['盐 适量', '生姜 5克']"
酸辣拌藕片,拌,酸辣味,5分钟,初中水平,"['莲藕 2节', '大蒜 2瓣']","['醋 1小勺', '白糖 1勺', '盐 少许']"
韭菜肉酱面------天凉好个秋,煮,香辣味,30分钟,初级入门,"['香菇 3个', '韭菜 1小把', '面条 400克']","['料酒 少许', '大蒜 3克', '生姜 3克', '干辣椒 2、3个', '豆瓣酱 半勺']"
宅家必备下午茶～炸鸡翅薯条,炸,家常味,数小时,未知,"['土豆 2个', '鸡翅 4个', '蚝油 适量', '淀粉 适量', '鸡蛋 1克']",['花生油 适量']
酱焖茄子,蒸,家常味,15分钟,新手尝试,['茄子 1个'],"['酱油 1勺', '花生油 适量', '生姜 适量', '盐 少许', '大蒜 2瓣', '小葱 适量']"
清炒红苋菜,炒,家常味,10分钟,新手尝试,['苋菜 1把'],"['大蒜 3瓣', '花生油 2汤勺', '盐 1茶勺', '鸡精 适量']"
豆角 土豆烧肉,烧,家常味,30分钟,未知,"['猪肉 200克', '香菇 5朵', '土豆 1个']","['大葱 半颗', '冰糖 少许', '香叶 3片', '盐 适量']"
牛肉粉条,煮,家常味,60分钟,未知,"['牛肉 1大块', '盐 适量']",[]
沙拉汁拌皮冻,其它工艺,家常味,5分钟,初中水平,"['猪皮 适量', '水 适量']","['盐 适量', '料酒 适量', '八角 一个', '花椒 适量', '香叶 一片', '茴香 适量', '白芷 适量', '大葱 适量', '生姜 适量', '桂皮 桂皮适量']"
爆炒花甲,炒,咸鲜味,15分钟,新手尝试,"['大葱 适量', '生姜 适量', '大蒜 适量']","['八角 2个', '花椒 适量', '香叶 2张']"
土家酱香饼,煎,酱香味,30分钟,新手尝试,"['水 200克', '花椒 1勺', '芝麻 1勺', '大葱 1把', '豆瓣酱 10克', '孜然 1小勺', '白糖 1克']",['八角 少许']
可乐鸡翅,焖,甜味,30分钟,中级掌勺,['鸡翅 8个'],"['盐 少许', '料酒 2勺', '芝麻 少许']"
地锅鸡,烧,家常味,5分钟,新手尝试,"['田鸡 半只', '小麦面粉 150克']","['盐 5克', '大葱 适量', '八角 适量', '青椒 2个', '料酒 30毫升', '蚝油 30克']"
京酱肉丝卷,其它工艺,咸鲜味,5分钟,未知,"['豆腐 2张', '鸡蛋 一颗']","['香菜 适量', '黄瓜 一根', '大葱 一根', '白萝卜 可选']"
土豆炖牛肉,炖,家常味,30分钟,新手尝试,"['牛肉 800克', '土豆 3个', '西红柿 1个']","['花生油 适量', '白糖 10克', '生姜 适量', '料酒 1勺', '香叶 2片', '八角 2个', '桂皮 1块', '草果 1个']"
红烧狮子头,烧,咸鲜味,60分钟,未知,"['猪肉 400克', '莲藕 一节', '香菜 少许']","['大葱 适量', '生姜 少许', '淀粉 适量', '料酒 一勺', '白糖 一勺左右', '盐 适量']"
福禄带鱼,烧,咸鲜味,30分钟,未知,['带鱼 400克'],"['花生油 适量', '盐 适量', '腐乳 适量', '白糖 适量', '醋 适量', '料酒 适量', '大葱 适量']"
凉拌藕丁,拌,酸辣味,10分钟,中级掌勺,"['莲藕 400克', '秋葵 2个', '大蒜 1个']","['盐 3克', '醋 3汤匙', '酱油 2汤匙']"
黄瓜炒鸡蛋,炒,家常味,5分钟,初中水平,"['黄瓜 200克', '鸡蛋 2个']","['大葱 2克', '盐 1茶勺', '鸡精 1茶勺']"
可乐鸡翅,烧,家常味,15分钟,初级入门,"['鸡翅 8个', '生姜 3片', '酱油 10毫升']",['八角 1个']
山药炒木耳,炒,家常味,10分钟,新手尝试,['山药 250克'],"['生姜 适量', '胡椒粉 少许', '大蒜 2瓣', '料酒 1茶匙', '盐 适量']"
照烧鸡腿,烤,酱香味,60分钟,未知,['鸡腿 1个'],"['酱油 适量', '料酒 适量', '蜂蜜 适量', '生姜 适量']"
土豆烧肉,烧,咸鲜味,2小时,初级入门,"['土豆 450克', '猪肉 500克']","['花生油 适量', '盐 2克', '大葱 2根', '生姜 3片', '酱油 10克', '蚝油 10克', '冰糖 15克', '白糖 2克', '醋 5克', '料酒 10克']"
意大利面,炒,家常味,15分钟,新手尝试,"['西红柿 600克', '洋葱 100克']","['白糖 1勺', '盐 1勺', '大蒜 4瓣']"
辣子鸡,炸,椒麻味,10分钟,新手尝试,"['田鸡 1000克', '干辣椒 1大把']","['生姜 1大块', '大蒜 5瓣', '花椒 2汤匙', '白糖 2茶匙', '芝麻 1茶匙', '花生油 200毫升']"
麻辣鱼,烧,麻辣味,30分钟,初中水平,"['草鱼 750克', '猪肉 50克']","['豆瓣酱 50克', '干辣椒 100个', '泡椒 30克', '花生油 150毫升', '盐 5克', '大葱 3段', '生姜 4片', '料酒 40毫升', '大蒜 6瓣', '水 400毫升']"
剁椒鱼头,蒸,香辣味,10分钟,初中水平,[],"['料酒 一勺', '生姜 一块', '大葱 两根', '白糖 少许']"
白切鸡放点它，清香不油腻，肉质嫩滑好吃,煮,家常味,数小时,初级入门,"['鸡腿 2只', '小葱 15克', '香菜 10克', '生姜 15克']","['白糖 3克', '酱油 2勺', '盐 3克']"
韭菜蚬肉,炒,家常味,30分钟,未知,[],"['大蒜 1个', '生姜 1块', '韭菜 300克']"
青菜烧肉丸,烧,家常味,30分钟,初级入门,['猪肉 300克'],"['花生油 适量', '盐 3克', '大葱 5克', '生姜 15克', '鸡蛋 1个', '淀粉 10克', '酱油 6克', '胡椒粉 1克', '白糖 2克', '鸡精 1克']"
黄豆芽炒粉丝,炒,家常味,5分钟,新手尝试,['黄豆芽 200克'],"['大蒜 2个', '生姜 2片', '大葱 1棵', '蚝油 3克']"
糖醋排骨,炖,甜味,90分钟,未知,"['排骨 500克', '冰糖 适量']","['料酒 适量', '八角 两个', '生姜 几片', '盐 适量']"
锅包肉,炸,酸甜味,30分钟,中级掌勺,"['猪肉 3两左右', '大葱 适量', '胡萝卜 适量', '鸡蛋 1个']","['盐 适量', '淀粉 适量', '花生油 适量', '醋 适量', '白糖 适量']"
如何做一只色香味俱全的美味鸡,烧,其它口味,30分钟,中级掌勺,['田鸡 1只'],"['生姜 少许', '酱油 20毫升']"
凉拌素什锦,拌,家常味,15分钟,初级入门,"['豇豆 150克', '胡萝卜 一根', '黄豆芽 50克', '豆腐 1张', '香菜 2根']","['花椒 20粒', '小葱 1根', '大蒜 适量', '盐 适量', '酱油 2勺', '醋 一勺', '白糖 少许', '味精 少许']"
素焖三鲜,炒,家常味,10分钟,初级入门,"['莴笋 1根', '莲藕 1根', '胡萝卜 1根']","['大蒜 3瓣', '小葱 2段', '香菜 2根', '盐 1勺', '白糖 少量']"
蟹排杏鲍菇,其它工艺,咸鲜味,30分钟,未知,['杏鲍菇 3个'],"['淀粉 适量', '盐 适量', '鸡精 适量', '白糖 适量', '水 适量', '鲍鱼 适量']"
回锅肉,炒,家常味,15分钟,未知,['猪肉 200克'],"['大蒜 80克', '青椒 120克', '豆瓣酱 5克', '大蒜 2个', '生姜 2克', '盐 2克']"
金华火腿炒双菇,炒,家常味,15分钟,新手尝试,"['杏鲍菇 1个', '香菇 5朵（60克）', '胡萝卜 一小段']","['大蒜 4瓣', '小葱 适量']"
荷叶糯米鸡,蒸,咸鲜味,60分钟,新手尝试,"['荷叶 5张', '鸡腿 2个', '腊肉 1小块']","['料酒 1汤匙', '胡椒粉 1小撮', '蚝油 1汤匙', '料酒 1茶匙', '白糖 1茶匙', '花生油 20克']"
藤椒鱼,煮,香辣味,60分钟,新手尝试,"['青鱼 50克', '黄豆芽 200克', '鸡蛋 1个']","['豆瓣酱 1大勺', '料酒 1勺', '盐 4勺', '干辣椒 适量', '小葱 适量']"
炝炒生菜,炝,蒜香味,5分钟,新手尝试,[],"['大蒜 2粒', '蚝油 1勺', '白糖 5克', '醋 5毫升', '淀粉 适量']"
酸辣炝藕丁,泡,酸甜味,5分钟,新手尝试,['莲藕 1根'],"['花椒 3克', '醋 适量', '辣椒 2克', '冰糖 适量', '水 适量', '盐 少许', '小葱 适量']"
可乐鸡翅,烧,咸鲜味,30分钟,未知,['鸡翅 10只'],"['生姜 少量', '盐 1小勺', '料酒 少量']"
飘香糖醋排骨,烧,酸甜味,60分钟,未知,['排骨 10根'],"['生姜 适量', '八角 适量']"
苏州樱桃肉，酥烂入味，色香味俱佳！,砂锅,甜味,2小时,初中水平,['猪肉 一块'],"['大葱 一把', '生姜 一块', '山楂 少许', '冰糖 适量', '料酒 适量', '盐 适量']"
水煮肉片,其它工艺,麻辣味,15分钟,未知,[],"['大葱 适量', '金针菇 适量', '豆瓣酱 适量', '香菜 适量', '芝麻 适量', '生姜 3片', '大蒜 2瓣', '花椒 适量', '干辣椒 适量', '鸡蛋 1个', '料酒 适量']"
大拌菜,拌,酸味,10分钟,新手尝试,"['苦菊 1颗', '紫甘蓝 100克', '荷兰豆 10个', '芝麻 2勺']","['盐 1勺', '醋 2勺', '白糖 1勺', '芝麻油 1勺']"
薯片鸡翅,烤,家常味,30分钟,初级入门,['鸡翅 8个'],"['淀粉 100克', '鸡蛋 1个', '盐 1小勺', '胡椒粉 1小勺', '大蒜 2瓣', '料酒 1大勺']"
梅菜扣肉,蒸,咸鲜味,90分钟,未知,['猪肉 500克'],['蜂蜜 少许']
辣子鸡,炒,家常味,10分钟,新手尝试,['花生 200克'],"['干辣椒 10个', '花椒 20克', '料酒 1大勺', '盐 适量', '大葱 适量', '蚝油 1大勺']"
红烧鳊鱼,烧,家常味,30分钟,初级入门,['鳊鱼 1条'],"['洋葱 适量', '生姜 3片', '花椒 几粒', '大葱 适量', '大蒜 1瓣', '豆瓣酱 1勺', '淀粉 1勺']"
酱牛肉,炖,咸鲜味,30分钟,新手尝试,[],"['花生油 15毫升', '生姜 20克', '冰糖 30克', '八角 5克', '陈皮 10克', '干辣椒 少许', '丁香 少许']"
红烧鱼,烧,家常味,30分钟,新手尝试,['鲈鱼 1条'],"['盐 2克', '料酒 1汤匙', '大蒜 2茶匙', '小葱 15克', '生姜 15克', '酱油 2汤匙', '白糖 10克', '八角 1个', '花生油 适量']"
蒜蓉粉丝娃娃菜,蒸,家常味,10分钟,新手尝试,"['娃娃菜 1棵', '粉丝 50克', '大蒜 1头']","['花生油 适量', '盐 1勺', '白糖 1勺', '蚝油 1勺', '小葱 适量']"
红烧茄子,炸,香辣味,10分钟,中级掌勺,"['茄子 1根', '鸡腿 200克']","['花生油 10毫升', '盐 4克', '酱油 2毫升', '干辣椒 5个', '辣椒 3个', '生姜 2克']"
脆皮五花肉,烤,蒜香味,90分钟,初级入门,['猪肉 1000克'],"['孜然 5克', '生姜 1块', '干辣椒 2个', '生姜 适量', '盐 7克', '白糖 10克', '孜然 5克', '醋 少许', '桂皮 1段']"
香菇西芹五花肉,烧,家常味,60分钟,初级入门,"['猪肉 300克', '西芹 200克', '香菇 15朵']","['蒜苗 3棵', '大蒜 2瓣', '生姜 3片', '料酒 1勺', '蚝油 2勺', '酱油 1小勺']"
双茹烧三黄鸡,炖,酱香味,30分钟,初中水平,"['田鸡 700克', '香菇 300克']","['生姜 15克', '小葱 2根', '料酒 2中勺', '酱油 1大勺']"
小米香菇蒸排骨,蒸,咸鲜味,60分钟,新手尝试,"['排骨 500克', '香菇 25克', '小米 130克', '小葱 10克']","['蚝油 65克', '料酒 20克', '盐 2克', '白糖 10克']"
萝卜干炒肉皮,炒,家常味,15分钟,初中水平,[],"['盐 适量', '生姜 5克']"
炸蘑菇,炸,家常味,10分钟,新手尝试,"['平菇 250克', '小麦面粉 60克', '鸡蛋 1个', '淀粉 40克']","['盐 2克', '白糖 半茶匙', '孜然 适量']"
酱黄豆,焖,家常味,60分钟,新手尝试,['黄豆 200克'],"['盐 4克', '花生油 30克', '八角 3克', '冰糖 15克', '生姜 6克', '花椒 2克']"
萝卜干炒腊肉,炒,香辣味,数小时,未知,['腊肉 1块'],"['干辣椒 3个', '生姜 5克']"
团团圆圆茄汁鸡肉丸，酸甜开胃超好吃,煮,酸甜味,10分钟,初级入门,"['鸡肉 1块', '鸡蛋 1个']","['生姜 1块', '小葱 1颗', '淀粉 1小碟', '花生油 1小勺', '盐 1小勺', '白糖 1小勺', '料酒 1大勺']"
嫩滑蒸鸡翅,蒸,家常味,30分钟,新手尝试,['鸡翅 8个'],"['淀粉 1/2茶匙', '白糖 3克', '酱油 1茶匙', '蚝油 1茶匙', '盐 3克', '花生油 1/2茶匙', '大葱 1根', '生姜 2片', '大蒜 1粒']"
鸡蛋炒芹菜,炒,家常味,5分钟,未知,['芹菜 一把'],['鸡蛋 2个']
午餐肉米饭棒【宝宝辅食】,煎,咸鲜味,15分钟,新手尝试,[],"['酱油 2勺', '蜂蜜 1勺', '蚝油 1勺', '番茄酱 适量']"
油呛茄子,蒸,家常味,30分钟,新手尝试,['茄子 1根'],"['鸡精 1克', '花生油 12克', '盐 2克', '蚝油 3克', '大蒜 3克', '小葱 1克']"
京酱肉丝,炒,家常味,15分钟,新手尝试,"['猪肉 120克', '小葱 适量', '黄瓜 适量']","['料酒 1小匙', '淀粉 1大匙', '花椒 1小匙', '蚝油 1大匙', '白糖 1小匙', '花生油 适量']"
香煎马鲛鱼,煎,家常味,10分钟,新手尝试,['鲅鱼 600克'],"['小葱 一根', '大蒜 四瓣', '生姜 一小块', '蚝油 一勺', '醋 半勺', '白糖 1/3勺', '孜然 适量']"
豉汁蒸排骨,蒸,家常味,60分钟,新手尝试,['猪肉 500g'],"['生姜 1块', '大蒜 半个', '白糖 1勺', '料酒 1勺', '淀粉 适量']"
清蒸南京盐水鸭,蒸,咸鲜味,30分钟,未知,[],"['大蒜 2瓣', '大葱 一根', '花生油 适量', '醋 适量']"
香菇糯米烧麦,蒸,家常味,60分钟,中级掌勺,"['猪肉 100克', '香菇 100克', '玉米 一小把', '豌豆 一小把']","['花生油 适量', '小葱 少许', '盐 少许', '蚝油 1勺', '白糖 少许']"
香辣石屏小豆腐,炒,香辣味,30分钟,未知,"['豆腐 20块', '青椒 1个']","['香菜 2棵', '八角 2个', '生姜 5克', '蚝油 10毫升', '白糖 3克']"
酱烧鲳鱼,烧,酱香味,30分钟,未知,['鲳鱼 4条'],"['料酒 2勺', '豆瓣酱 2勺', '醋 1勺']"
凉拌鸭件,拌,香辣味,10分钟,未知,"['鸭胗 15只', '香菜 适量']","['芝麻 一勺', '醋 适量', '盐 少许', '料酒 适量', '大葱 两节', '生姜 适量']"
粉条烧土鸡,烧,家常味,30分钟,中级掌勺,"['田鸡 半只', '粉条 100克']","['干辣椒 4个', '生姜 5片', '大蒜 6个', '料酒 1大勺', '盐 1小勺', '小葱 2颗', '八角 1个', '茴香 1克', '冰糖 1勺', '豆瓣酱 1大勺', '醋 2勺']"
酱香红烧肉,煮,家常味,数小时,初中水平,['猪肉 500克'],"['盐 3克', '冰糖 15克', '生姜 1块', '花生油 适量', '料酒 小半碗', '花椒 少许', '八角 少许']"
番茄荷包蛋,烧,家常味,15分钟,初级入门,"['西红柿 1个', '鸡蛋 3个', '红椒 1个']","['盐 适量', '花生油 适量', '孜然 适量', '胡椒粉 适量', '香菜 适量', '大蒜 1瓣']"
白灼秋葵,煮,咸鲜味,10分钟,未知,['秋葵 6个'],"['白糖 1匙', '蚝油 1勺', '盐 1/3匙', '水 2勺', '大蒜 3粒']"
蔬菜炒肉片,炒,家常味,30分钟,新手尝试,"['猪肉 100克', '蘑菇 3个', '玉米 1段', '白萝卜 1段', '鸡蛋 1个']","['鸡精 0.4汤勺', '盐 0.4汤勺']"
贵州豆豉辣酱风味酱拌面,拌,香辣味,15分钟,新手尝试,"['小麦面粉 325克', '鸡蛋 1个', '水 90克']","['盐 2克', '黄瓜 50克', '大葱 20克', '鹌鹑蛋 5个']"
家常小炒肉,炒,咸鲜味,15分钟,初级入门,"['猪肉 110克', '青椒 70克']","['酱油 2小勺', '大蒜 1瓣', '生姜 3片', '醋 1小勺', '盐 2克', '水 若干']"
玉米炒鸡丁,炒,家常味,5分钟,初中水平,"['鸡肉 1块', '玉米 1根']","['盐 3克', '蚝油 1勺', '料酒 3勺', '干辣椒 两个', '生姜 1块', '白糖 5克', '醋 半勺']"
排骨炖土豆,炖,咸鲜味,60分钟,初级入门,"['排骨 适量', '土豆 适量']","['大葱 适量', '生姜 适量', '料酒 适量', '酱油 适量', '蚝油 适量', '大蒜 适量', '香叶 适量', '干辣椒 适量', '盐 适量', '鸡精 适量']"
雪菜肉末炒四季豆,炒,家常味,15分钟,初级入门,[],"['料酒 1勺', '盐 适量']"
简易版的京酱肉丝,炒,家常味,15分钟,未知,"['猪肉 半斤', '黄瓜 两根']","['料酒 一勺', '淀粉 适量']"
小炒四季豆,炒,家常味,10分钟,初级入门,['猪肉 150克'],"['生姜 适量', '盐 适量', '干辣椒 5个']"
黄酒神仙鸡,焖,咸鲜味,数小时,未知,"['田鸡 一只', '猪蹄 一个', '猪肉 一小块']","['生姜 适量', '小葱 两个', '冰糖 适量', '蚝油 适量', '八角 一个', '香叶 两片']"
干锅土豆,炒,香辣味,15分钟,初中水平,"['土豆 300克', '香菇 20克', '火腿 30克']","['盐 2克', '花生油 5毫升', '酱油 3毫升', '小葱 5克']"
金针肉末烧茄子,烧,咸鲜味,15分钟,初级入门,"['茄子 2根', '金针菇 200克', '猪肉 100克']","['大蒜 5瓣', '生姜 1小块', '盐 1小勺', '蚝油 1小勺', '白糖 1/2小勺']"
油焖大虾,焖,甜味,15分钟,初级入门,['虾 500克'],"['料酒 2勺', '白糖 3勺', '水 适量', '盐 1勺', '大葱 1棵', '生姜 2片']"
红烧排骨,炖,咸鲜味,90分钟,未知,['排骨 500克'],"['大葱 适量', '生姜 适量', '大蒜 两个', '花椒 适量']"
蟹黄味番茄炒蛋盖浇饭,煮,家常味,15分钟,新手尝试,"['西红柿 1个', '鸡蛋 2个', '生姜 少许']","['盐 适量', '胡椒粉 少许', '白糖 1小勺']"
红烧狮子头,烧,家常味,30分钟,初中水平,"['猪肉 300克', '鸡蛋 1只']","['生姜 适量', '大葱 2棵', '淀粉 4勺', '盐 1小勺', '料酒 1大勺', '冰糖 10克']"
凉拌芹菜花生,煮,家常味,30分钟,初级入门,"['芹菜 200克', '花生 100克']","['八角 4克', '水 适量', '盐 适量', '醋 5克']"
空气炸锅版麻辣香锅,烤,香辣味,15分钟,初级入门,"['虾 6只', '芹菜 半根', '土豆 半个', '莲藕 半段', '金针菇 少许']","['花生油 两大勺', '大葱 半根']"
饺饼筒,煎,家常味,60分钟,未知,"['小麦面粉 300克', '水 300克', '花生油 20克']",[]
烤肉,煎,香辣味,15分钟,新手尝试,"['猪肉 200克', '洋葱 1/2个']","['盐 2克', '生姜 4片', '辣椒 5克', '白糖 2克', '蚝油 3克']"
豆腐茄子煲,其它工艺,酱香味,15分钟,未知,"['豆腐 2块', '茄子 一个', '香菇 三个']","['大蒜 适量', '辣椒 三个', '花生油 适量', '酱油 适量', '蚝油 适量', '盐 适量']"
红焖海虾,焖,家常味,15分钟,初级入门,['虾 500克'],"['蚝油 1调羹', '大蒜 6克', '花生油 3调羹', '小葱 50克', '辣椒 2颗']"
